tuplet_name,offsets,parent_W,child_W,new_prime,tuplet_size,parent_phase_length,parent_admissible_density,local_forbidden_count,local_allowed_count,local_allowed_fraction,forbidden_residues,gap_multiset,gap_min,gap_max,gap_span,gap_max_over_prime,gap_span_over_prime,gap_num_distinct,gap_entropy,new_prime_times_tuplet_size,new_prime_times_forbidden_count,first_internal_split_H,first_visible_split_H,first_visible_split_lower_bound,visible_found_exact_within_range,visible_status
double_twins_p13,"[0,2,26,28]",210,2310,11,4,35,0.11428571428571428,4,7,0.6363636363636364,0 1 4 8,1 3 3 4,1,4,7,0.36363636363636365,0.6363636363636364,3,1.2945451658448959,44,44,1,1,1,1,exact
double_twins_p17,"[0,2,34,36]",210,2310,11,4,35,0.08571428571428572,4,7,0.6363636363636364,1 6 8 10,2 2 2 5,2,5,6,0.45454545454545453,0.5454545454545454,2,1.2882523050229002,44,44,1,1,1,1,exact
double_twins_p19,"[0,2,38,40]",210,2310,11,4,35,0.17142857142857143,4,7,0.6363636363636364,1 2 8 9,1 1 3 6,1,6,5,0.5454545454545454,0.45454545454545453,3,1.1209503926735835,44,44,1,1,1,1,exact
quadruplet,"[0,2,6,8]",210,2310,11,4,35,0.08571428571428572,4,7,0.6363636363636364,0 1 7 8,1 1 3 6,1,6,5,0.5454545454545454,0.45454545454545453,3,1.1209503926735835,44,44,1,1,1,1,exact
triplet,"[0,2,6]",210,2310,11,3,35,0.22857142857142856,3,8,0.7272727272727273,0 1 8,1 3 7,1,7,4,0.6363636363636364,0.36363636363636365,3,0.8599672810355049,33,33,1,1,1,1,exact
twins,"[0,2]",210,2310,11,2,35,0.42857142857142855,2,9,0.8181818181818182,1 8,4 7,4,7,4,0.6363636363636364,0.36363636363636365,2,0.6554817739013927,22,22,1,1,1,1,exact
double_twins_p13,"[0,2,26,28]",2310,30030,13,4,385,0.07272727272727272,2,11,0.8461538461538461,1 10,4 9,4,9,4,0.6923076923076923,0.3076923076923077,2,0.6172417697303416,52,26,1,6,6,1,exact
double_twins_p17,"[0,2,34,36]",2310,30030,13,4,385,0.05454545454545454,4,9,0.6923076923076923,0 1 4 10,1 3 3 6,1,6,7,0.46153846153846156,0.5384615384615384,3,1.2309316230479221,52,52,1,21,21,1,exact
double_twins_p19,"[0,2,38,40]",2310,30030,13,4,385,0.10909090909090909,4,9,0.6923076923076923,1 8 10 12,2 2 2 7,2,7,6,0.5384615384615384,0.46153846153846156,2,1.1972375015579317,52,52,1,3,3,1,exact
quadruplet,"[0,2,6,8]",2310,30030,13,4,385,0.05454545454545454,4,9,0.6923076923076923,0 1 9 10,1 1 3 8,1,8,5,0.6153846153846154,0.38461538461538464,3,1.0317671113505356,52,52,1,21,21,1,exact
triplet,"[0,2,6]",2310,30030,13,3,385,0.16623376623376623,3,10,0.7692307692307693,1 9 10,1 4 8,1,8,5,0.6153846153846154,0.38461538461538464,3,0.8587409130062869,39,39,1,6,6,1,exact
twins,"[0,2]",2310,30030,13,2,385,0.35064935064935066,2,11,0.8461538461538461,1 10,4 9,4,9,4,0.6923076923076923,0.3076923076923077,2,0.6172417697303416,26,26,1,2,2,1,exact
double_twins_p13,"[0,2,26,28]",30030,510510,17,4,5005,0.06153846153846154,4,13,0.7647058823529411,2 3 9 13,1 4 6 6,1,6,11,0.35294117647058826,0.6470588235294118,3,1.2422550455140853,68,68,1,16,16,1,exact
double_twins_p17,"[0,2,34,36]",30030,510510,17,4,5005,0.03776223776223776,2,15,0.8823529411764706,2 13,6 11,6,11,6,0.6470588235294118,0.35294117647058826,2,0.649248354870898,68,34,1,41,41,1,exact
double_twins_p19,"[0,2,38,40]",30030,510510,17,4,5005,0.07552447552447553,4,13,0.7647058823529411,1 2 7 13,1 5 5 6,1,6,11,0.35294117647058826,0.6470588235294118,3,1.2540994652497846,68,68,1,13,13,1,exact
quadruplet,"[0,2,6,8]",30030,510510,17,4,5005,0.03776223776223776,4,13,0.7647058823529411,1 2 12 13,1 1 5 10,1,10,7,0.5882352941176471,0.4117647058823529,3,1.0053874327555714,68,68,1,51,51,1,exact
triplet,"[0,2,6]",30030,510510,17,3,5005,0.12787212787212787,3,14,0.8235294117647058,1 2 13,1 5 11,1,11,6,0.6470588235294118,0.35294117647058826,3,0.8082699580001821,51,51,1,16,16,1,exact
twins,"[0,2]",30030,510510,17,2,5005,0.2967032967032967,2,15,0.8823529411764706,2 13,6 11,6,11,6,0.6470588235294118,0.35294117647058826,2,0.649248354870898,34,34,1,4,4,1,exact
double_twins_p13,"[0,2,26,28]",510510,9699690,19,4,85085,0.047058823529411764,4,15,0.7894736842105263,2 4 15 17,2 2 4 11,2,11,8,0.5789473684210527,0.42105263157894735,3,1.1184066545611024,76,76,1,51,51,1,exact
double_twins_p17,"[0,2,34,36]",510510,9699690,19,4,85085,0.03331962155491567,4,15,0.7894736842105263,2 3 9 15,1 6 6 6,1,6,13,0.3157894736842105,0.6842105263157895,2,1.2469826398977568,76,76,1,,61,0,not_found_le_60
double_twins_p19,"[0,2,38,40]",510510,9699690,19,4,85085,0.057754010695187166,2,17,0.8947368421052632,2 15,6 13,6,13,6,0.6842105263157895,0.3157894736842105,2,0.6236548495681085,76,38,1,34,34,1,exact
quadruplet,"[0,2,6,8]",510510,9699690,19,4,85085,0.028877005347593583,4,15,0.7894736842105263,1 2 14 15,1 1 5 12,1,12,7,0.631578947368421,0.3684210526315789,3,0.9514879602387298,76,76,1,,61,0,not_found_le_60
triplet,"[0,2,6]",510510,9699690,19,3,85085,0.10530645824763472,3,16,0.8421052631578947,2 14 15,1 6 12,1,12,7,0.631578947368421,0.3684210526315789,3,0.8092054732283177,57,57,1,26,26,1,exact
twins,"[0,2]",510510,9699690,19,2,85085,0.26179702650290887,2,17,0.8947368421052632,2 15,6 13,6,13,6,0.6842105263157895,0.3157894736842105,2,0.6236548495681085,38,38,1,6,6,1,exact
